tipo_lancamento;data_referencia;id_obra;nome_obra;id_etapa;nome_etapa;pacote_servico;peso_fisico_etapa_pct;avanco_fisico_etapa_pct;id_insumo;descricao_insumo;categoria_insumo;grupo_custo;unidade_medida;nome_fornecedor;quantidade;valor_unitario;valor_total;forma_pagamento;status_pagamento;colaborador_lancamento
Previsto;2026-07-15;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;0;INS-009;Porcelanato 60x60;Material;Revestimento;m2;;59.93;157.91;9463.55;;;
Realizado;2026-07-28;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-009;Porcelanato 60x60;Material;Revestimento;m2;Depósito Central;22.18;153.84;3412.17;Boleto;Pago;João Proprietário
Realizado;2026-07-30;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-009;Porcelanato 60x60;Material;Revestimento;m2;Elétrica Luz;22.18;152.19;3375.57;PIX;A pagar;João Proprietário
Realizado;2026-07-21;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-009;Porcelanato 60x60;Material;Revestimento;m2;Equipe Mão na Massa;22.18;153.35;3401.3;Boleto;Pago;João Proprietário
Previsto;2026-07-15;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;0;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;;96.31;111.52;10740.49;;;
Realizado;2026-07-27;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Hidráulica Água Boa;31.93;123.97;3958.36;Boleto;Pago;João Proprietário
Realizado;2026-07-17;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Depósito Central;31.93;113.13;3612.24;Boleto;A pagar;Carlos Mestre de Obras
Realizado;2026-07-28;OBR-002;Sobrado Alto Padrão;ETP-001;Serviços Preliminares;Serviços preliminares;5;100;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Construmax;31.93;122.68;3917.17;Cartão de Crédito;Pago;Carlos Mestre de Obras
Previsto;2026-08-04;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;0;INS-006;Areia Média;Material;Concreto;m3;;147.03;125.29;18421.39;;;
Realizado;2026-08-05;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;100;INS-006;Areia Média;Material;Concreto;m3;Depósito Central;80.46;131.97;10618.31;PIX;Pago;João Proprietário
Realizado;2026-08-06;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;100;INS-006;Areia Média;Material;Concreto;m3;Equipe Mão na Massa;80.46;132.94;10696.35;Boleto;Pago;João Proprietário
Previsto;2026-08-04;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;0;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;;229.61;18.19;4176.61;;;
Realizado;2026-08-08;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;100;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Equipe Mão na Massa;112.23;19.8;2222.15;Cartão de Crédito;Pago;João Proprietário
Realizado;2026-08-16;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;100;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Elétrica Luz;112.23;18.83;2113.29;Boleto;Pago;João Proprietário
Previsto;2026-08-04;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;0;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;;160.25;57.65;9238.41;;;
Realizado;2026-08-16;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;100;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Equipe Mão na Massa;51.68;56.15;2901.83;PIX;Pago;João Proprietário
Realizado;2026-08-17;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;100;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Construmax;51.68;57.96;2995.37;Cartão de Crédito;Pago;Carlos Mestre de Obras
Realizado;2026-08-08;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;100;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Cia do Aço;51.68;64.37;3326.64;Boleto;Pago;Carlos Mestre de Obras
Previsto;2026-08-04;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;0;INS-002;Aço CA50 10mm;Material;Aço;kg;;356.93;38.42;13713.25;;;
Realizado;2026-08-03;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;100;INS-002;Aço CA50 10mm;Material;Aço;kg;Equipe Mão na Massa;442.95;40.75;18050.21;Boleto;Pago;Carlos Mestre de Obras
Previsto;2026-08-04;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;0;INS-009;Porcelanato 60x60;Material;Revestimento;m2;;291.29;101.84;29664.97;;;
Realizado;2026-08-07;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;100;INS-009;Porcelanato 60x60;Material;Revestimento;m2;Hidráulica Água Boa;148.45;116.41;17281.06;PIX;A pagar;João Proprietário
Realizado;2026-08-17;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;100;INS-009;Porcelanato 60x60;Material;Revestimento;m2;Equipe Mão na Massa;148.45;106.76;15848.52;Cartão de Crédito;Pago;Carlos Mestre de Obras
Previsto;2026-08-04;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;0;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;;407.46;190.59;77657.8;;;
Realizado;2026-08-12;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;100;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;Construmax;508.46;185.58;94360.01;Cartão de Crédito;Pago;Carlos Mestre de Obras
Previsto;2026-08-04;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;0;INS-005;Servente;Mão de obra;Mão de Obra;diária;;390.09;85.37;33301.98;;;
Realizado;2026-08-12;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;100;INS-005;Servente;Mão de obra;Mão de Obra;diária;Elétrica Luz;195.84;91.15;17850.82;Cartão de Crédito;Pago;Carlos Mestre de Obras
Realizado;2026-08-05;OBR-002;Sobrado Alto Padrão;ETP-002;Fundação;Estrutural;15;100;INS-005;Servente;Mão de obra;Mão de Obra;diária;Equipe Mão na Massa;195.84;97.28;19051.32;PIX;Pago;Carlos Mestre de Obras
Previsto;2026-08-24;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;0;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;;210.17;142.53;29955.53;;;
Realizado;2026-08-28;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;100;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;Equipe Mão na Massa;105.29;142.0;14951.18;Boleto;Pago;Carlos Mestre de Obras
Realizado;2026-09-08;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;100;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;Construmax;105.29;161.74;17029.6;Cartão de Crédito;A pagar;Carlos Mestre de Obras
Previsto;2026-08-24;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;0;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;;218.32;115.74;25268.36;;;
Realizado;2026-08-23;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;100;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Depósito Central;69.29;116.1;8044.57;PIX;Pago;João Proprietário
Realizado;2026-09-06;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;100;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Elétrica Luz;69.29;123.73;8573.25;Boleto;Pago;João Proprietário
Realizado;2026-08-27;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;100;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Construmax;69.29;126.15;8740.93;Cartão de Crédito;Pago;Carlos Mestre de Obras
Previsto;2026-08-24;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;0;INS-002;Aço CA50 10mm;Material;Aço;kg;;303.04;179.54;54407.8;;;
Realizado;2026-08-21;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;100;INS-002;Aço CA50 10mm;Material;Aço;kg;Cia do Aço;102.31;179.55;18369.76;Cartão de Crédito;A pagar;Carlos Mestre de Obras
Realizado;2026-08-27;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;100;INS-002;Aço CA50 10mm;Material;Aço;kg;Construmax;102.31;206.46;21122.92;PIX;Pago;Carlos Mestre de Obras
Realizado;2026-09-08;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;100;INS-002;Aço CA50 10mm;Material;Aço;kg;Hidráulica Água Boa;102.31;187.46;19179.03;Boleto;Pago;João Proprietário
Previsto;2026-08-24;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;0;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;;321.04;105.97;34020.61;;;
Realizado;2026-08-29;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;100;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Equipe Mão na Massa;341.75;109.33;37363.53;PIX;A pagar;João Proprietário
Previsto;2026-08-24;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;0;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;;211.71;106.66;22580.99;;;
Realizado;2026-09-05;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;100;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Depósito Central;86.86;118.68;10308.54;Boleto;Pago;João Proprietário
Realizado;2026-08-31;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;100;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Construmax;86.86;108.22;9399.99;PIX;Pago;João Proprietário
Realizado;2026-08-25;OBR-002;Sobrado Alto Padrão;ETP-003;Estrutura;Estrutural;20;100;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Construmax;86.86;110.14;9566.76;Boleto;Pago;João Proprietário
Previsto;2026-09-13;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;0;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;;352.14;37.46;13191.16;;;
Realizado;2026-09-13;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Elétrica Luz;114.98;37.38;4297.95;Cartão de Crédito;Pago;João Proprietário
Realizado;2026-09-11;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Hidráulica Água Boa;114.98;36.29;4172.62;PIX;Pago;Carlos Mestre de Obras
Realizado;2026-09-17;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;Construmax;114.98;39.32;4521.01;Cartão de Crédito;Pago;João Proprietário
Previsto;2026-09-13;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;0;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;;490.32;60.09;29463.33;;;
Realizado;2026-09-27;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;Construmax;136.73;59.38;8119.03;Cartão de Crédito;A pagar;Carlos Mestre de Obras
Realizado;2026-09-21;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;Elétrica Luz;136.73;60.41;8259.86;Cartão de Crédito;Pago;Carlos Mestre de Obras
Realizado;2026-09-17;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;Construmax;136.73;60.48;8269.43;Cartão de Crédito;A pagar;João Proprietário
Previsto;2026-09-13;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;0;INS-005;Servente;Mão de obra;Mão de Obra;diária;;433.98;97.61;42360.79;;;
Realizado;2026-09-25;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-005;Servente;Mão de obra;Mão de Obra;diária;Hidráulica Água Boa;194.92;103.5;20174.22;Boleto;A pagar;Carlos Mestre de Obras
Realizado;2026-09-15;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-005;Servente;Mão de obra;Mão de Obra;diária;Construmax;194.92;111.88;21807.65;Boleto;Pago;João Proprietário
Previsto;2026-09-13;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;0;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;;31.39;152.77;4795.45;;;
Realizado;2026-09-28;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Cia do Aço;11.23;156.78;1760.64;Boleto;A pagar;Carlos Mestre de Obras
Realizado;2026-09-26;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Elétrica Luz;11.23;160.48;1802.19;PIX;A pagar;João Proprietário
Realizado;2026-09-22;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Depósito Central;11.23;148.18;1664.06;Cartão de Crédito;Pago;Carlos Mestre de Obras
Previsto;2026-09-13;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;0;INS-002;Aço CA50 10mm;Material;Aço;kg;;46.67;159.58;7447.6;;;
Realizado;2026-09-28;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-002;Aço CA50 10mm;Material;Aço;kg;Depósito Central;20.91;173.71;3632.28;Boleto;A pagar;João Proprietário
Realizado;2026-09-28;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-002;Aço CA50 10mm;Material;Aço;kg;Equipe Mão na Massa;20.91;182.05;3806.67;Boleto;A pagar;Carlos Mestre de Obras
Previsto;2026-09-13;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;0;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;;312.56;58.43;18262.88;;;
Realizado;2026-09-10;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Hidráulica Água Boa;112.07;67.16;7526.62;PIX;Pago;Carlos Mestre de Obras
Realizado;2026-09-17;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Depósito Central;112.07;60.69;6801.53;PIX;Pago;Carlos Mestre de Obras
Realizado;2026-09-19;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Hidráulica Água Boa;112.07;58.94;6605.41;PIX;Pago;João Proprietário
Previsto;2026-09-13;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;0;INS-009;Porcelanato 60x60;Material;Revestimento;m2;;287.3;161.62;46433.43;;;
Realizado;2026-09-20;OBR-002;Sobrado Alto Padrão;ETP-004;Alvenaria;Estrutural;15;88;INS-009;Porcelanato 60x60;Material;Revestimento;m2;Construmax;243.03;173.24;42102.52;Cartão de Crédito;Pago;Carlos Mestre de Obras
Previsto;2026-10-03;OBR-002;Sobrado Alto Padrão;ETP-005;Cobertura;Cobertura;10;0;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;;450.47;101.07;45529.0;;;
Realizado;2026-10-12;OBR-002;Sobrado Alto Padrão;ETP-005;Cobertura;Cobertura;10;10;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Elétrica Luz;25.61;99.21;2540.77;Cartão de Crédito;Pago;João Proprietário
Realizado;2026-10-12;OBR-002;Sobrado Alto Padrão;ETP-005;Cobertura;Cobertura;10;10;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;Elétrica Luz;25.61;109.97;2816.33;PIX;A pagar;João Proprietário
Previsto;2026-10-03;OBR-002;Sobrado Alto Padrão;ETP-005;Cobertura;Cobertura;10;0;INS-005;Servente;Mão de obra;Mão de Obra;diária;;62.26;85.55;5326.34;;;
Realizado;2026-10-07;OBR-002;Sobrado Alto Padrão;ETP-005;Cobertura;Cobertura;10;10;INS-005;Servente;Mão de obra;Mão de Obra;diária;Depósito Central;3.43;98.26;337.03;Cartão de Crédito;Pago;Carlos Mestre de Obras
Realizado;2026-09-29;OBR-002;Sobrado Alto Padrão;ETP-005;Cobertura;Cobertura;10;10;INS-005;Servente;Mão de obra;Mão de Obra;diária;Construmax;3.43;90.96;311.99;Cartão de Crédito;Pago;João Proprietário
Previsto;2026-10-03;OBR-002;Sobrado Alto Padrão;ETP-005;Cobertura;Cobertura;10;0;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;;390.11;57.57;22458.63;;;
Realizado;2026-10-06;OBR-002;Sobrado Alto Padrão;ETP-005;Cobertura;Cobertura;10;10;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;Equipe Mão na Massa;19.05;56.88;1083.56;Cartão de Crédito;Pago;Carlos Mestre de Obras
Realizado;2026-10-18;OBR-002;Sobrado Alto Padrão;ETP-005;Cobertura;Cobertura;10;10;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;Equipe Mão na Massa;19.05;61.93;1179.77;PIX;Pago;João Proprietário
Previsto;2026-10-03;OBR-002;Sobrado Alto Padrão;ETP-005;Cobertura;Cobertura;10;0;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;;26.35;82.5;2173.88;;;
Realizado;2026-10-11;OBR-002;Sobrado Alto Padrão;ETP-005;Cobertura;Cobertura;10;10;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;Cia do Aço;2.45;83.24;203.94;PIX;Pago;João Proprietário
Previsto;2026-10-03;OBR-002;Sobrado Alto Padrão;ETP-005;Cobertura;Cobertura;10;0;INS-006;Areia Média;Material;Concreto;m3;;270.12;184.0;49702.08;;;
Realizado;2026-10-13;OBR-002;Sobrado Alto Padrão;ETP-005;Cobertura;Cobertura;10;10;INS-006;Areia Média;Material;Concreto;m3;Elétrica Luz;26.74;205.15;5485.71;Cartão de Crédito;A pagar;Carlos Mestre de Obras
Previsto;2026-10-23;OBR-002;Sobrado Alto Padrão;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-002;Aço CA50 10mm;Material;Aço;kg;;54.25;88.0;4774.0;;;
Previsto;2026-10-23;OBR-002;Sobrado Alto Padrão;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;;139.58;37.86;5284.5;;;
Previsto;2026-10-23;OBR-002;Sobrado Alto Padrão;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;;190.61;153.57;29271.98;;;
Previsto;2026-10-23;OBR-002;Sobrado Alto Padrão;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-007;Cabo Flexível 2.5mm;Material;Elétrica;m;;138.46;85.49;11836.95;;;
Previsto;2026-10-23;OBR-002;Sobrado Alto Padrão;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-006;Areia Média;Material;Concreto;m3;;322.89;83.72;27032.35;;;
Previsto;2026-10-23;OBR-002;Sobrado Alto Padrão;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-008;Tubo PVC 100mm;Material;Hidráulica;m;;340.67;102.22;34823.29;;;
Previsto;2026-10-23;OBR-002;Sobrado Alto Padrão;ETP-006;Instalações Elétricas;Elétrico;10;0;INS-009;Porcelanato 60x60;Material;Revestimento;m2;;313.58;189.49;59420.27;;;
Previsto;2026-11-12;OBR-002;Sobrado Alto Padrão;ETP-007;Instalações Hidráulicas;Hidráulico;10;0;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;;328.13;36.59;12006.28;;;
Previsto;2026-11-12;OBR-002;Sobrado Alto Padrão;ETP-007;Instalações Hidráulicas;Hidráulico;10;0;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;;32.22;21.88;704.97;;;
Previsto;2026-11-12;OBR-002;Sobrado Alto Padrão;ETP-007;Instalações Hidráulicas;Hidráulico;10;0;INS-002;Aço CA50 10mm;Material;Aço;kg;;498.0;36.48;18167.04;;;
Previsto;2026-11-12;OBR-002;Sobrado Alto Padrão;ETP-007;Instalações Hidráulicas;Hidráulico;10;0;INS-006;Areia Média;Material;Concreto;m3;;125.05;114.45;14311.97;;;
Previsto;2026-11-12;OBR-002;Sobrado Alto Padrão;ETP-007;Instalações Hidráulicas;Hidráulico;10;0;INS-009;Porcelanato 60x60;Material;Revestimento;m2;;200.44;83.64;16764.8;;;
Previsto;2026-11-12;OBR-002;Sobrado Alto Padrão;ETP-007;Instalações Hidráulicas;Hidráulico;10;0;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;;475.2;143.85;68357.52;;;
Previsto;2026-12-02;OBR-002;Sobrado Alto Padrão;ETP-008;Acabamento;Acabamento;15;0;INS-010;Tinta Acrílica Branca 18L;Material;Acabamento;un;;470.14;66.75;31381.84;;;
Previsto;2026-12-02;OBR-002;Sobrado Alto Padrão;ETP-008;Acabamento;Acabamento;15;0;INS-003;Tijolo Baiano 8 furos;Material;Alvenaria;un;;348.24;55.19;19219.37;;;
Previsto;2026-12-02;OBR-002;Sobrado Alto Padrão;ETP-008;Acabamento;Acabamento;15;0;INS-007;Cabo Flexível 2.5mm;Material;Elétrica;m;;227.9;58.68;13373.17;;;
Previsto;2026-12-02;OBR-002;Sobrado Alto Padrão;ETP-008;Acabamento;Acabamento;15;0;INS-006;Areia Média;Material;Concreto;m3;;187.72;196.47;36881.35;;;
Previsto;2026-12-02;OBR-002;Sobrado Alto Padrão;ETP-008;Acabamento;Acabamento;15;0;INS-001;Cimento CP-II 50kg;Material;Concreto;saco;;189.99;181.81;34542.08;;;
Previsto;2026-12-02;OBR-002;Sobrado Alto Padrão;ETP-008;Acabamento;Acabamento;15;0;INS-004;Pedreiro;Mão de obra;Mão de Obra;diária;;325.97;26.2;8540.41;;;
Previsto;2026-12-02;OBR-002;Sobrado Alto Padrão;ETP-008;Acabamento;Acabamento;15;0;INS-005;Servente;Mão de obra;Mão de Obra;diária;;145.18;194.12;28182.34;;;
